Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,6.16%,Semiconductors,US,---,"$129,381,996,836.04","730,187,916"
,2046251,Apple Inc,AAPL,5.88%,"Technology Hardware, Storage & Peripherals",US,---,"$123,472,406,131.20","467,379,840"
,2588173,Microsoft Corp,MSFT,4.40%,Systems Software,US,---,"$92,328,831,081.08","235,088,942"
,2000019,Amazon.com Inc,AMZN,3.04%,Broadline Retail,US,---,"$63,907,950,540.00","304,323,574"
,BYVY8G0,Alphabet Inc,GOOGL,2.73%,Interactive Media & Services,US,---,"$57,348,456,202.80","183,950,655"
,BDZ78H9,Broadcom Inc,AVGO,2.27%,Semiconductors,US,---,"$47,731,637,261.00","149,371,420"
,BYY88Y7,Alphabet Inc,GOOG,2.16%,Interactive Media & Services,US,---,"$45,296,771,293.83","145,447,681"
,B7TL820,Meta Platforms Inc,META,2.13%,Interactive Media & Services,US,---,"$44,651,887,361.64","68,888,098"
,B616C79,Tesla Inc,TSLA,1.71%,Automobile Manufacturers,US,---,"$35,992,300,503.93","89,419,643"
,2073390,Berkshire Hathaway Inc,BRK/B,1.37%,Multi-Sector Holdings,US,---,"$28,679,242,704.85","56,796,203"
,2516152,Eli Lilly & Co,LLY,1.35%,Pharmaceuticals,US,---,"$28,312,861,207.78","26,913,622"
,2190385,JPMorgan Chase & Co,JPM,1.15%,Diversified Banks,US,---,"$24,195,851,780.10","80,572,267"
,2326618,Exxon Mobil Corp,XOM,0.97%,Integrated Oil & Gas,US,---,"$20,342,251,330.00","133,391,812"
,2475833,Johnson & Johnson,JNJ,0.90%,Pharmaceuticals,US,---,"$18,932,777,510.01","76,209,707"
,2936921,Walmart Inc,WMT,0.85%,Consumer Staples Merchandise Retail,US,---,"$17,747,114,616.30","138,703,514"
,B2PZN04,Visa Inc,V,0.80%,Transaction & Payment Processing Services,US,---,"$16,759,577,428.64","52,350,776"
,2588184,Micron Technology Inc,MU,0.70%,Semiconductors,US,---,"$14,678,855,715.51","35,596,323"
,2701271,Costco Wholesale Corp,COST,0.67%,Consumer Staples Merchandise Retail,US,---,"$14,168,609,335.98","14,017,362"
,B121557,Mastercard Inc,MA,0.63%,Transaction & Payment Processing Services,US,---,"$13,121,184,278.02","25,369,162"
,B92SR70,AbbVie Inc,ABBV,0.62%,Biotechnology,US,---,"$12,973,452,790.32","55,900,779"
,2857817,Netflix Inc,NFLX,0.61%,Movies & Entertainment,US,---,"$12,899,624,158.80","134,035,995"
,2704407,Procter & Gamble Co/The,PG,0.59%,Household Products,US,---,"$12,359,376,348.00","73,919,715"
,2434209,Home Depot Inc/The,HD,0.57%,Home Improvement Retail,US,---,"$11,987,141,285.44","31,485,452"
,2838555,Chevron Corp,CVX,0.54%,Integrated Oil & Gas,US,---,"$11,299,688,380.68","60,503,793"
,2180201,Caterpillar Inc,CAT,0.52%,Construction Machinery & Heavy Transportation Equipment,US,---,"$10,996,013,693.61","14,802,867"
,BL59CR9,General Electric Co,GE,0.52%,Aerospace & Defense,US,---,"$10,849,298,370.96","31,698,996"
,2007849,Advanced Micro Devices Inc,AMD,0.49%,Semiconductors,US,---,"$10,310,251,609.06","51,497,186"
,2295677,Bank of America Corp,BAC,0.47%,Diversified Banks,US,---,"$9,846,753,870.03","197,606,941"
,2778844,Merck & Co Inc,MRK,0.46%,Pharmaceuticals,US,---,"$9,722,310,616.02","78,519,711"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.45%,Application Software,US,---,"$9,417,638,303.58","68,646,682"
,2046552,Applied Materials Inc,AMAT,0.45%,Semiconductor Materials & Equipment,US,---,"$9,381,445,481.40","25,198,618"
,BSML4N7,Lam Research Corp,LRCX,0.44%,Semiconductor Materials & Equipment,US,---,"$9,292,309,366.00","39,729,400"
,B2PKRQ3,Philip Morris International Inc,PM,0.44%,Tobacco,US,---,"$9,199,529,003.98","49,240,106"
,2198163,Cisco Systems Inc,CSCO,0.43%,Communications Equipment,US,---,"$8,938,087,261.82","112,485,367"
,2206657,Coca-Cola Co/The,KO,0.42%,Soft Drinks & Non-alcoholic Beverages,US,---,"$8,877,730,883.24","108,849,079"
,BM5M5Y3,RTX Corp,RTX,0.41%,Aerospace & Defense,US,---,"$8,593,617,102.84","42,412,482"
,2917766,UnitedHealth Group Inc,UNH,0.40%,Managed Health Care,US,---,"$8,403,289,954.82","28,653,766"
,2649100,Wells Fargo & Co,WFC,0.39%,Diversified Banks,US,---,"$8,086,927,779.00","99,287,020"
,2661568,Oracle Corp,ORCL,0.37%,Systems Software,US,---,"$7,867,156,491.40","54,106,991"
,2407966,Goldman Sachs Group Inc/The,GS,0.37%,Investment Banking & Brokerage,US,---,"$7,737,622,213.52","9,001,736"
,2550707,McDonald's Corp,MCD,0.37%,Restaurants,US,---,"$7,682,269,748.22","22,524,687"
,BNZHB81,Linde PLC,LIN,0.36%,Industrial Gases,US,---,"$7,503,399,619.68","14,768,146"
,BP6H4Y1,GE Vernova Inc,GEV,0.36%,Heavy Electrical Equipment,US,---,"$7,497,013,305.60","8,581,746"
,2681511,PepsiCo Inc,PEP,0.35%,Soft Drinks & Non-alcoholic Beverages,US,---,"$7,341,951,782.70","43,254,105"
,2005973,International Business Machines Corp,IBM,0.34%,IT Consulting & Other Services,US,---,"$7,102,438,720.83","29,567,623"
,2023607,Amgen Inc,AMGN,0.31%,Biotechnology,US,---,"$6,611,393,812.16","17,032,651"
,2002305,Abbott Laboratories,ABT,0.30%,Health Care Equipment,US,---,"$6,399,991,033.15","55,006,369"
,2480138,KLA Corp,KLAC,0.30%,Semiconductor Materials & Equipment,US,---,"$6,335,215,690.30","4,155,466"
,2831811,AT&T Inc,T,0.30%,Integrated Telecommunication Services,US,---,"$6,281,247,905.93","224,250,193"
,2262314,Morgan Stanley,MS,0.30%,Investment Banking & Brokerage,US,---,"$6,278,311,834.14","37,705,314"
,2886907,Thermo Fisher Scientific Inc,TMO,0.30%,Life Sciences Tools & Services,US,---,"$6,194,425,190.02","11,886,982"
,2328915,NextEra Energy Inc,NEE,0.29%,Electric Utilities,US,---,"$6,177,835,032.04","65,882,852"
,2885409,Texas Instruments Inc,TXN,0.29%,Semiconductors,US,---,"$6,095,955,919.67","28,739,597"
,2090571,Verizon Communications Inc,VZ,0.29%,Integrated Telecommunication Services,US,---,"$6,018,594,560.74","120,035,791"
,2270726,Walt Disney Co/The,DIS,0.29%,Movies & Entertainment,US,---,"$5,988,453,757.44","56,473,536"
,2297907,Citigroup Inc,C,0.28%,Diversified Banks,US,---,"$5,884,486,046.34","53,403,086"
,2463247,Intel Corp,INTC,0.28%,Semiconductors,US,---,"$5,848,784,803.83","128,234,703"
,2369174,Gilead Sciences Inc,GILD,0.28%,Biotechnology,US,---,"$5,845,495,086.00","39,244,680"
,2989301,TJX Cos Inc/The,TJX,0.27%,Apparel Retail,US,---,"$5,690,353,109.92","35,199,512"
